月份,策略,贵州茅台,中国平安,长江电力,中国中免,恒瑞医药
2016-11,Utility,1.45585,1.96371,-1.679395,-2.428911,1.688746
2016-12,GMV,0.105094,0.039523,0.378731,0.262239,0.214413
2016-12,MV,0.207089,0.177737,0.201517,0.186355,0.227302
2016-12,Utility,1.573977,2.030012,-2.173411,-0.830611,0.400033
2017-01,GMV,0.10315,0.067097,0.459785,0.190214,0.179753
2017-01,MV,0.19155,0.112565,0.195942,0.238761,0.261181
2017-01,Utility,0.913435,0.483864,-1.958629,0.635198,0.926131
2017-02,GMV,0.064529,0.09645,0.552531,0.163081,0.123409
2017-02,MV,0.087519,0.051348,0.4184,0.261428,0.181306
2017-02,Utility,0.542744,-0.841708,-2.237522,2.208765,1.327722
2017-03,GMV,0.124531,0.069842,0.624523,0.072916,0.108188
2017-03,MV,0.159511,-0.003521,0.410911,0.181054,0.252045
2017-03,Utility,0.434497,-0.580246,-1.268336,1.031151,1.382935
2017-04,GMV,0.087887,0.136687,0.58672,0.086665,0.102042
2017-04,MV,0.268276,-0.117136,0.564778,0.14261,0.141473
2017-04,Utility,1.223181,-1.46077,0.448628,0.438758,0.350203
2017-05,GMV,0.134335,0.080129,0.641143,0.076358,0.068035
2017-05,MV,0.195114,0.219684,0.436257,0.041876,0.10707
2017-05,Utility,0.643309,1.248792,-1.074618,-0.212401,0.394918
2017-06,GMV,0.184522,-0.042791,0.745852,0.09126,0.021157
2017-06,MV,0.225694,0.21748,0.501077,0.034192,0.021558
2017-06,Utility,0.422844,1.463767,-0.671013,-0.239074,0.023475
2017-07,GMV,0.11904,-0.004164,0.582051,0.166105,0.136969
2017-07,MV,0.179268,0.103971,0.589487,0.121107,0.006168
2017-07,Utility,0.597603,0.855064,0.641133,-0.191441,-0.902359
2017-08,GMV,0.068356,0.036328,0.49382,0.139172,0.262325
2017-08,MV,0.036808,0.084916,0.497543,0.092649,0.288084
2017-08,Utility,-0.21648,0.47502,0.527434,-0.28087,0.494896
2017-09,GMV,0.275608,0.079071,0.453468,0.083681,0.108172
2017-09,MV,0.330781,0.039446,0.315855,0.116129,0.197789
2017-09,Utility,0.825873,-0.316124,-0.918994,0.40729,1.001954
2017-10,GMV,0.092423,0.156966,0.528083,0.086044,0.136483
2017-10,MV,0.070646,0.313346,0.260312,0.219521,0.136176
2017-10,Utility,-0.111971,1.624672,-1.985092,1.338789,0.133603
2017-11,GMV,0.164295,-0.005354,0.743238,0.083474,0.014347
2017-11,MV,0.214368,0.308373,0.431137,0.078496,-0.032374
2017-11,Utility,0.338029,1.083159,-0.339634,0.066204,-0.147758
2017-12,GMV,0.17169,-0.140898,0.894931,0.097966,-0.023688
2017-12,MV,0.363592,0.221829,0.424226,0.070265,-0.079913
2017-12,Utility,0.512924,0.504089,0.057941,0.04871,-0.123664
2018-01,GMV,0.023675,-0.046663,0.888839,0.094885,0.039263
2018-01,MV,0.165494,-0.208956,0.536632,0.310326,0.196504
2018-01,Utility,0.304783,-0.368354,0.190709,0.521923,0.35094
2018-02,GMV,-0.061268,-0.084986,0.925225,0.01343,0.207599
2018-02,MV,0.091156,-0.247,0.860422,0.17899,0.116433
2018-02,Utility,0.548245,-0.73285,0.666088,0.675473,-0.156956
2018-03,GMV,-0.007118,-0.128911,0.913343,0.069962,0.152723
2018-03,MV,0.055209,-0.101359,0.898368,0.051351,0.096431
2018-03,Utility,-1.657199,-0.858353,1.309809,0.562683,1.64306
2018-04,GMV,0.083727,-0.155547,0.868007,0.098524,0.105288
2018-04,MV,0.109403,-0.104641,0.863089,0.080014,0.052136
2018-04,Utility,-0.535417,-1.383109,0.986595,0.544898,1.387034
2018-05,GMV,0.061251,-0.087807,0.859496,0.121544,0.045516
2018-05,MV,0.053425,-0.011326,0.843481,0.099201,0.01522
2018-05,Utility,0.236302,-1.798493,1.217714,0.621296,0.72318
2018-06,GMV,0.011903,0.093861,0.791019,0.059193,0.044024
2018-06,MV,0.021208,0.073944,0.79755,0.062039,0.045259
2018-06,Utility,1.261849,-2.581621,1.668331,0.441505,0.209936
2018-07,GMV,0.102894,0.035686,0.742328,0.05118,0.067913
2018-07,MV,0.133355,0.034361,0.741147,0.016582,0.074555
2018-07,Utility,-0.415324,0.058225,0.762425,0.639754,-0.04508
2018-08,GMV,0.323103,-0.093155,0.785759,-0.104581,0.088875
2018-08,MV,0.148768,0.06501,0.761888,-0.022885,0.047219
2018-08,Utility,-1.406664,1.476176,0.548915,0.706013,-0.324439
2018-09,GMV,0.17209,0.010382,0.796234,-0.051993,0.073287
2018-09,MV,0.19545,-0.065555,0.8198,-0.04404,0.094344
2018-09,Utility,-0.46739,2.089152,0.151112,-0.269722,-0.503152
2018-10,GMV,-0.149821,-0.103986,1.114139,0.069148,0.07052
2018-10,MV,0.006975,-0.411299,1.177999,0.120698,0.105627
2018-10,Utility,-1.766538,3.064699,0.455682,-0.462373,-0.29147
2018-11,GMV,-0.076547,-0.246337,1.24075,0.093579,-0.011444
2018-11,MV,-0.25265,0.201398,0.974002,-0.008622,0.085871
2018-11,Utility,-1.107684,2.375297,-0.32114,-0.504842,0.558368
