code,name,date,bucket,start_time,end_time,bars,volume_lot,return,partition
000002,万科A,2026-05-07,20,14:18,14:30,5,58893.6,-0.0025220670062429144,equal_time
000002,万科A,2026-05-07,21,14:32,14:40,5,17460.0,-0.0025220670062429144,equal_time
000002,万科A,2026-05-07,22,14:42,14:50,5,46059.94,0.0,equal_time
000002,万科A,2026-05-07,23,14:52,14:58,4,34828.0,0.002515722182973634,equal_time
000002,万科A,2026-05-08,0,09:30,09:38,5,167173.58000000002,0.01002519649053471,equal_time
000002,万科A,2026-05-08,1,09:40,09:48,5,98095.40999999999,0.002496937276350143,equal_time
000002,万科A,2026-05-08,2,09:50,09:58,5,85660.0,0.007472066900324853,equal_time
000002,万科A,2026-05-08,3,10:00,10:08,5,73014.0,0.0,equal_time
000002,万科A,2026-05-08,4,10:10,10:18,5,41042.1,-0.0024905994900405264,equal_time
000002,万科A,2026-05-08,5,10:20,10:28,5,45955.89,-0.0025031278279573394,equal_time
000002,万科A,2026-05-08,6,10:30,10:38,5,28876.0,0.0,equal_time
000002,万科A,2026-05-08,7,10:40,10:48,5,31418.68,0.0,equal_time
000002,万科A,2026-05-08,8,10:50,10:58,5,18440.0,0.0,equal_time
000002,万科A,2026-05-08,9,11:00,11:08,5,8024.0,0.0,equal_time
000002,万科A,2026-05-08,10,11:10,11:18,5,10741.0,0.0,equal_time
000002,万科A,2026-05-08,11,11:20,11:28,5,36945.0,-0.0025157221829736026,equal_time
000002,万科A,2026-05-08,12,11:30,13:06,5,680529.66,0.0,equal_time
000002,万科A,2026-05-08,13,13:08,13:16,5,64125.0,-0.0025220670062429144,equal_time
000002,万科A,2026-05-08,14,13:18,13:26,5,30710.0,-0.0025284439146058255,equal_time
000002,万科A,2026-05-08,15,13:28,13:36,5,32764.0,0.002522067006242808,equal_time
000002,万科A,2026-05-08,16,13:38,13:46,5,56720.0,0.0025094092032536793,equal_time
000002,万科A,2026-05-08,17,13:48,13:56,5,44413.79,0.0,equal_time
000002,万科A,2026-05-08,18,13:58,14:06,5,12042.85,0.0,equal_time
000002,万科A,2026-05-08,19,14:08,14:16,5,49864.0,0.0,equal_time
000002,万科A,2026-05-08,20,14:18,14:26,5,23232.4,-0.005012537031211045,equal_time
000002,万科A,2026-05-08,21,14:28,14:36,5,21785.0,0.0,equal_time
000002,万科A,2026-05-08,22,14:38,14:46,5,30546.17,0.0025094092032536793,equal_time
000002,万科A,2026-05-08,23,14:48,14:56,5,55768.49,0.0,equal_time
000002,万科A,2026-05-11,0,09:30,09:38,5,123030.88,0.0025031278279573515,equal_time
000002,万科A,2026-05-11,1,09:40,09:48,5,277921.66000000003,0.009901061633650749,equal_time
000002,万科A,2026-05-11,2,09:50,09:58,5,348187.81,0.014670176064580797,equal_time
000002,万科A,2026-05-11,3,10:00,10:08,5,185121.0,0.0,equal_time
000002,万科A,2026-05-11,4,10:10,10:18,5,106795.04999999999,-0.004866185134600146,equal_time
000002,万科A,2026-05-11,5,10:20,10:28,5,65391.4,-0.0024419430876502345,equal_time
000002,万科A,2026-05-11,6,10:30,10:38,5,75156.44,-0.004889980733338914,equal_time
000002,万科A,2026-05-11,7,10:40,10:48,5,29479.0,0.0,equal_time
000002,万科A,2026-05-11,8,10:50,10:58,5,40999.2,-0.0024539280848285233,equal_time
000002,万科A,2026-05-11,9,11:00,11:08,5,10021.6,0.0,equal_time
000002,万科A,2026-05-11,10,11:10,11:18,5,59298.759999999995,0.002460082111813219,equal_time
000002,万科A,2026-05-11,11,11:20,11:28,5,20568.0,-0.002460082111813139,equal_time
000002,万科A,2026-05-11,12,11:30,13:06,5,1405728.5,-0.0024722456827359356,equal_time
000002,万科A,2026-05-11,13,13:08,13:16,5,33665.33,0.0024722456827359573,equal_time
000002,万科A,2026-05-11,14,13:18,13:26,5,30959.03,0.002466031306457443,equal_time
000002,万科A,2026-05-11,15,13:28,13:36,5,125273.92,0.009803990929980647,equal_time
000002,万科A,2026-05-11,16,13:38,13:46,5,38451.0,-0.004889980733338914,equal_time
000002,万科A,2026-05-11,17,13:48,13:56,5,33420.0,0.0,equal_time
000002,万科A,2026-05-11,18,13:58,14:06,5,76176.06,0.004889980733338848,equal_time
000002,万科A,2026-05-11,19,14:08,14:16,5,45486.0,-0.0024419430876502345,equal_time
000002,万科A,2026-05-11,20,14:18,14:26,5,23821.2,0.002441943087650178,equal_time
000002,万科A,2026-05-11,21,14:28,14:36,5,32469.17,-0.0024480376456886533,equal_time
000002,万科A,2026-05-11,22,14:38,14:46,5,23336.0,0.0,equal_time
000002,万科A,2026-05-11,23,14:48,14:56,5,44596.0,0.0,equal_time
000002,万科A,2026-05-12,0,09:30,09:38,5,213955.53,-0.007416531499716577,equal_time
000002,万科A,2026-05-12,1,09:40,09:48,5,83143.0,0.0024782545105231563,equal_time
000002,万科A,2026-05-12,2,09:50,09:58,5,68467.31999999999,0.007398359101006457,equal_time
000002,万科A,2026-05-12,3,10:00,10:08,5,62890.0,0.0,equal_time
000002,万科A,2026-05-12,4,10:10,10:18,5,148579.21000000002,0.009780019361654006,equal_time
000002,万科A,2026-05-12,5,10:20,10:28,5,155901.6,0.002430074591113635,equal_time
000002,万科A,2026-05-12,6,10:30,10:38,5,236155.03999999998,0.0,equal_time
000002,万科A,2026-05-12,7,10:40,10:48,5,55258.259999999995,-0.002430074591113589,equal_time
000002,万科A,2026-05-12,8,10:50,10:58,5,39158.5,-0.002436110543486594,equal_time
000002,万科A,2026-05-12,9,11:00,11:08,5,59488.0,-0.004878053631136817,equal_time
000002,万科A,2026-05-12,10,11:10,11:18,5,18870.31,0.002441943087650178,equal_time
000002,万科A,2026-05-12,11,11:20,11:28,5,41486.0,-0.0024480376456886533,equal_time
000002,万科A,2026-05-12,12,11:30,13:06,5,1210938.02,-0.004901965730517207,equal_time
000002,万科A,2026-05-12,13,13:08,13:16,5,53764.0,0.0,equal_time
000002,万科A,2026-05-12,14,13:18,13:26,5,21369.0,0.0024539280848285537,equal_time
000002,万科A,2026-05-12,15,13:28,13:36,5,22877.0,0.0,equal_time
000002,万科A,2026-05-12,16,13:38,13:46,5,44315.0,0.004914010196641713,equal_time
000002,万科A,2026-05-12,17,13:48,13:56,5,34650.0,0.0,equal_time
000002,万科A,2026-05-12,18,13:58,14:06,5,38652.0,-0.0024480376456886533,equal_time
000002,万科A,2026-05-12,19,14:08,14:16,5,39267.17,0.0,equal_time
000002,万科A,2026-05-12,20,14:18,14:26,5,26839.0,0.0,equal_time
000002,万科A,2026-05-12,21,14:28,14:36,5,66470.0,0.007326091276825576,equal_time
000002,万科A,2026-05-12,22,14:38,14:46,5,92641.0,0.0024361105434864867,equal_time
000002,万科A,2026-05-12,23,14:48,14:56,5,99966.88,0.0,equal_time
000002,万科A,2026-05-13,0,09:30,09:38,5,163610.01,-0.009828079148787717,equal_time
000002,万科A,2026-05-13,1,09:40,09:48,5,115793.0,-0.0024722456827359356,equal_time
000002,万科A,2026-05-13,2,09:50,09:58,5,114929.0,-0.00496278464445737,equal_time
000002,万科A,2026-05-13,3,10:00,10:08,5,98298.44,-0.0024905994900405264,equal_time
000002,万科A,2026-05-13,4,10:10,10:18,5,115774.56,-0.0024969372763501614,equal_time
000002,万科A,2026-05-13,5,10:20,10:28,5,53686.0,0.0,equal_time
000002,万科A,2026-05-13,6,10:30,10:38,5,42540.1,-0.0025031278279573394,equal_time
000002,万科A,2026-05-13,7,10:40,10:48,5,36413.0,0.0,equal_time
000002,万科A,2026-05-13,8,10:50,10:58,5,61457.0,0.0,equal_time
000002,万科A,2026-05-13,9,11:00,11:08,5,43547.0,0.0,equal_time
000002,万科A,2026-05-13,10,11:10,11:18,5,33000.0,0.002496937276350143,equal_time
000002,万科A,2026-05-13,11,11:20,11:28,5,24106.0,-0.0024969372763501614,equal_time
000002,万科A,2026-05-13,12,11:30,13:06,5,935303.11,0.0,equal_time
000002,万科A,2026-05-13,13,13:08,13:16,5,21328.16,0.0,equal_time
