date,momentum20,bp
2017-06-06,0.0080910826,0.001961853
2017-06-07,0.0116187625,0.0107667666
2017-06-08,0.0140703989,0.0011148684
2017-06-09,0.0052181927,0.0073165441
2017-06-12,0.0041511156,-0.0076011386
2017-06-13,-0.0018339071,0.0063633379
2017-06-14,-0.0158860548,-0.0056469727
2017-06-15,-0.0066201197,0.0001909504
2017-06-16,-0.0006219363,-0.0031760529
2017-06-19,0.0083775884,0.0071954985
2017-06-20,-0.0058625404,-0.0005241383
2017-06-21,0.0206508729,0.003705939
2017-06-22,-0.0037049478,0.0025019203
2017-06-23,0.0143107184,0.0056224198
2017-06-26,0.011407455,0.0114997004
2017-06-27,0.0012996824,0.0025842352
2017-06-28,-0.0094488016,0.0001132875
2017-06-29,0.0092386347,0.0039833569
2017-06-30,0.00025391,-0.0008103661
2017-07-03,-0.0064488875,0.0039961505
2017-07-04,-0.0084437067,-0.0085208474
2017-07-05,0.0149669823,0.0070289777
2017-07-06,0.0046703878,0.0004664744
2017-07-07,0.0031527901,0.0067561564
2017-07-10,-0.0024681832,0.0034617109
2017-07-11,-0.009074911,0.003899002
2017-07-12,-0.0014362981,0.0012454654
2017-07-13,-0.002048025,0.0142955626
2017-07-14,0.0064432641,0.006431796
2017-07-17,-0.0243072127,-0.0048716246
2017-07-18,0.0092347807,0.0056883615
2017-07-19,0.0292371564,0.0188778874
2017-07-20,0.0098315633,0.0029446565
2017-07-21,0.0009748526,-0.002903382
2017-07-24,0.0043729334,0.0041547856
2017-07-25,-0.0103315325,-0.0034146411
2017-07-26,-0.0044172251,0.0014308757
2017-07-27,0.0013482695,-0.001575184
2017-07-28,0.007136668,0.0019283881
2017-07-31,0.014201541,0.0066085841
2017-08-01,-0.0021506238,0.005233349
2017-08-02,0.0016318174,-0.0033095994
2017-08-03,-0.0004069337,-0.0027987316
2017-08-04,-0.0048665864,-0.0020180268
2017-08-07,0.0134140677,0.0026791488
2017-08-08,0.0055388208,-0.0036912384
2017-08-09,0.0015015,-0.0055406467
2017-08-10,-0.0108362191,-0.0085950049
2017-08-11,-0.042049821,-0.0249061348
2017-08-14,0.020409544,0.0079734688
2017-08-15,0.0015794093,0.0035052603
2017-08-16,-0.0044277329,-0.0021997432
2017-08-17,0.0129690834,0.0082365887
2017-08-18,-0.0059166806,0.001826914
2017-08-21,0.0100506676,0.0058217629
2017-08-22,-0.0021488843,-0.0024501316
2017-08-23,-0.0104123639,0.000240298
2017-08-24,-0.0054072824,-0.0049925775
2017-08-25,0.0241297113,0.0196725038
2017-08-28,0.0154207836,0.0114432626
2017-08-29,-0.0015681296,0.0008037731
2017-08-30,0.0066420378,2.66456e-05
2017-08-31,0.0036318032,-0.0052943547
2017-09-01,0.0109976197,-0.0005917645
2017-09-04,0.0140041259,0.0043475066
2017-09-05,-0.0047833374,0.0014963716
2017-09-06,0.0011116481,2.0755e-05
2017-09-07,-0.0097899356,-0.0058851617
2017-09-08,0.0005797616,0.0011931025
2017-09-11,0.0014123718,0.0047287663
2017-09-12,0.004089227,-0.0001330952
2017-09-13,-0.0030322201,-0.0022570422
2017-09-14,-0.0071624597,-0.0007631746
2017-09-15,-0.0049968448,-0.0015892626
2017-09-18,0.003701615,0.0016712839
2017-09-19,-0.0102093867,0.0003553529
2017-09-20,0.0051237219,0.0047338295
2017-09-21,-0.0048866218,-0.0005201993
2017-09-22,-0.0012569544,-0.0057737246
2017-09-25,-0.0112450904,-0.0069308289
2017-09-26,0.0011425817,0.0033410577
2017-09-27,0.0071853961,-0.0009086143
2017-09-28,0.00123267,-0.0039753777
2017-09-29,0.0061709368,0.0006925883
2017-10-09,0.0168780454,0.0091162952
2017-10-10,-0.0031500946,0.004962739
2017-10-11,0.0009052251,0.0001162395
2017-10-12,0.0063883499,-0.0028527991
2017-10-13,0.0027698676,0.0003664492
2017-10-16,-0.0106779954,-0.0023268572
2017-10-17,0.0043079539,-0.0033281089
2017-10-18,0.0104656829,0.0019096456
2017-10-19,-0.0014335641,-0.0044077856
2017-10-20,0.0070883749,0.001199253
2017-10-23,0.0050141817,-0.0010308486
2017-10-24,0.0048411552,0.0090002369
2017-10-25,0.0066758275,0.0009832573
